year,district,variety,arrival_date,modal_price
2011,Anantapur,MCU 5,01/01/2011,4100
2011,Anantapur,MCU 5,02/01/2011,4100
2011,Anantapur,MCU 5,05/01/2011,3900
2011,Anantapur,MCU 5,06/01/2011,3900
2011,Anantapur,MCU 5,07/01/2011,4200
2011,Anantapur,MCU 5,08/01/2011,4200
2011,Anantapur,MCU 5,09/01/2011,4200
2011,Anantapur,MCU 5,10/01/2011,4200
2011,Anantapur,MCU 5,11/01/2011,4700
2011,Anantapur,MCU 5,12/01/2011,4700
2011,Anantapur,MCU 5,13/01/2011,4700
2011,Anantapur,MCU 5,14/01/2011,3800
2011,Anantapur,MCU 5,15/01/2011,3800
2011,Anantapur,MCU 5,16/01/2011,3800
2011,Anantapur,MCU 5,17/01/2011,4700
2011,Anantapur,MCU 5,21/01/2011,5000
2011,Anantapur,MCU 5,22/01/2011,5000
2011,Anantapur,MCU 5,23/01/2011,5000
2011,Anantapur,MCU 5,24/01/2011,5000
2011,Anantapur,MCU 5,25/01/2011,4900
2011,Anantapur,MCU 5,26/01/2011,4900
2011,Anantapur,MCU 5,27/01/2011,4900
2011,Anantapur,MCU 5,28/01/2011,4700
2011,Anantapur,MCU 5,11/02/2011,5300
2011,Anantapur,MCU 5,12/02/2011,5300
2011,Anantapur,MCU 5,13/02/2011,5300
2011,Anantapur,MCU 5,14/02/2011,5300
2011,Anantapur,MCU 5,15/02/2011,5300
2011,Anantapur,MCU 5,16/02/2011,5300
2011,Anantapur,MCU 5,17/02/2011,5300
2011,Anantapur,MCU 5,22/02/2011,5900
2011,Anantapur,MCU 5,01/03/2011,5700
2011,Anantapur,MCU 5,02/03/2011,5700
2011,Anantapur,MCU 5,08/03/2011,5800
2011,Anantapur,MCU 5,09/03/2011,5800
2011,Anantapur,MCU 5,10/03/2011,5800
2011,Anantapur,MCU 5,11/03/2011,5800
2011,Anantapur,MCU 5,12/03/2011,5800
2011,Anantapur,MCU 5,13/03/2011,5800
2011,Anantapur,MCU 5,14/03/2011,5800
2011,Anantapur,MCU 5,16/03/2011,5800
2011,Anantapur,MCU 5,17/03/2011,5800
2011,Anantapur,MCU 5,18/03/2011,5800
2011,Anantapur,MCU 5,19/03/2011,5800
2011,Anantapur,MCU 5,20/03/2011,5800
2011,Anantapur,MCU 5,21/03/2011,5800
2011,Anantapur,MCU 5,24/03/2011,5800
2011,Anantapur,MCU 5,06/04/2011,6200
2011,Anantapur,MCU 5,07/04/2011,6200
2011,Anantapur,MCU 5,08/04/2011,6200
2011,Anantapur,MCU 5,09/04/2011,6100
2011,Anantapur,MCU 5,10/04/2011,6100
2011,Anantapur,MCU 5,11/04/2011,6100
