year,district,variety,Date,month,modal_price
2011,Guntur,Mungari  (Ginned),07/02/2011,2,3700
2011,Guntur,N-44,15/09/2011,9,3000
2011,Guntur,Other,01/01/2011,1,3600
2011,Guntur,Other,02/01/2011,1,3600
2011,Guntur,Other,03/01/2011,1,3600
2011,Guntur,Other,04/01/2011,1,3600
2011,Guntur,Other,05/01/2011,1,3600
2011,Guntur,Other,06/01/2011,1,3600
2011,Guntur,Other,07/01/2011,1,3600
2011,Guntur,Other,08/01/2011,1,3600
2011,Guntur,Other,09/01/2011,1,3600
2011,Guntur,Other,10/01/2011,1,3600
2011,Guntur,Other,11/01/2011,1,3600
2011,Guntur,Other,12/01/2011,1,3600
2011,Guntur,Other,13/01/2011,1,3600
2011,Guntur,Other,14/01/2011,1,3600
2011,Guntur,Other,15/01/2011,1,3600
2011,Guntur,Other,16/01/2011,1,3600
2011,Guntur,Other,17/01/2011,1,3600
2011,Guntur,Other,18/01/2011,1,3600
2011,Guntur,Other,19/01/2011,1,3600
2011,Guntur,Other,20/01/2011,1,3600
2011,Guntur,Other,22/01/2011,1,3600
2011,Guntur,Other,23/01/2011,1,3600
2011,Guntur,Other,24/01/2011,1,3600
2011,Guntur,Other,25/01/2011,1,3600
2011,Guntur,Other,26/01/2011,1,3600
2011,Guntur,Other,27/01/2011,1,3600
2011,Guntur,Other,28/01/2011,1,3700
2011,Guntur,Other,29/01/2011,1,3700
2011,Guntur,Other,30/01/2011,1,3750
2011,Guntur,Other,31/01/2011,1,3700
2011,Guntur,Other,01/02/2011,2,3650
2011,Guntur,Other,02/02/2011,2,3650
2011,Guntur,Other,03/02/2011,2,3650
2011,Guntur,Other,04/02/2011,2,3700
2011,Guntur,Other,05/02/2011,2,3700
2011,Guntur,Other,06/02/2011,2,3700
2011,Guntur,Other,08/02/2011,2,3700
2011,Guntur,Other,09/02/2011,2,3700
2011,Guntur,Other,10/02/2011,2,3700
2011,Guntur,Other,11/02/2011,2,3800
2011,Guntur,Other,12/02/2011,2,3900
2011,Guntur,Other,13/02/2011,2,3900
2011,Guntur,Other,14/02/2011,2,3900
2011,Guntur,Other,15/02/2011,2,3900
2011,Guntur,Other,16/02/2011,2,3900
2011,Guntur,Other,17/02/2011,2,3900
2011,Guntur,Other,18/02/2011,2,3900
2011,Guntur,Other,21/02/2011,2,3800
2011,Guntur,Other,22/02/2011,2,3800
2011,Guntur,Other,23/02/2011,2,3700
2011,Guntur,Other,24/02/2011,2,3750
2011,Guntur,Other,25/02/2011,2,3700
2011,Guntur,Other,13/03/2011,3,4900
2011,Guntur,Other,14/03/2011,3,4900
2011,Guntur,Other,15/03/2011,3,4900
2011,Guntur,Other,16/03/2011,3,4800
2011,Guntur,Other,17/03/2011,3,4900
2011,Guntur,Other,18/03/2011,3,4900
2011,Guntur,Other,19/03/2011,3,4800
2011,Guntur,Other,20/03/2011,3,4900
2011,Guntur,Other,21/03/2011,3,4800
2011,Guntur,Other,22/03/2011,3,4800
2011,Guntur,Other,23/03/2011,3,4800
2011,Guntur,Other,24/03/2011,3,4800
2011,Guntur,Other,25/03/2011,3,4900
2011,Guntur,Other,26/03/2011,3,4900
2011,Guntur,Other,27/03/2011,3,4900
2011,Guntur,Other,28/03/2011,3,4900
2011,Guntur,Other,29/03/2011,3,4900
2011,Guntur,Other,30/03/2011,3,4900
2011,Guntur,Other,31/03/2011,3,4900
2011,Guntur,Other,01/04/2011,4,4900
2011,Guntur,Other,02/04/2011,4,4900
2011,Guntur,Other,03/04/2011,4,4900
2011,Guntur,Other,04/04/2011,4,4900
2011,Guntur,Other,05/04/2011,4,4900
2011,Guntur,Other,06/04/2011,4,4900
2011,Guntur,Other,07/04/2011,4,4900
2011,Guntur,Other,08/04/2011,4,4900
2011,Guntur,Other,09/04/2011,4,4900
2011,Guntur,Other,10/04/2011,4,4900
2011,Guntur,Other,11/04/2011,4,4900
2011,Guntur,Other,12/04/2011,4,4900
2011,Guntur,Other,13/04/2011,4,4900
2011,Guntur,Other,14/04/2011,4,4900
2011,Guntur,Other,15/04/2011,4,4900
2011,Guntur,Other,16/04/2011,4,4900
2011,Guntur,Other,17/04/2011,4,4800
2011,Guntur,Other,18/04/2011,4,4800
2011,Guntur,Other,19/04/2011,4,4800
2011,Guntur,Other,20/04/2011,4,4800
2011,Guntur,Other,21/04/2011,4,4600
2011,Guntur,Other,22/04/2011,4,4600
2011,Guntur,Other,23/04/2011,4,4600
2011,Guntur,Other,24/04/2011,4,4700
2011,Guntur,Other,25/04/2011,4,4700
2011,Guntur,Other,26/04/2011,4,4700
2011,Guntur,Other,27/04/2011,4,4700
2011,Guntur,Other,28/04/2011,4,4700
2011,Guntur,Other,29/04/2011,4,4700
2011,Guntur,Other,30/04/2011,4,4700
2011,Guntur,Other,01/05/2011,5,4200
2011,Guntur,Other,02/05/2011,5,4100
2011,Guntur,Other,03/05/2011,5,4050
2011,Guntur,Other,04/05/2011,5,4200
2011,Guntur,Other,05/05/2011,5,4100
2011,Guntur,Other,06/05/2011,5,4050
2011,Guntur,Other,07/05/2011,5,4050
2011,Guntur,Other,08/05/2011,5,4050
2011,Guntur,Other,09/05/2011,5,4050
2011,Guntur,Other,10/05/2011,5,4050
2011,Guntur,Other,11/05/2011,5,4050
2011,Guntur,Other,12/05/2011,5,4050
2011,Guntur,Other,13/05/2011,5,4050
2011,Guntur,Other,14/05/2011,5,3400
2011,Guntur,Other,15/05/2011,5,3400
2011,Guntur,Other,16/05/2011,5,3400
2011,Guntur,Other,17/05/2011,5,3400
2011,Guntur,Other,18/05/2011,5,3400
2011,Guntur,Other,19/05/2011,5,3450
2011,Guntur,Other,20/05/2011,5,3400
2011,Guntur,Other,21/05/2011,5,3400
2011,Guntur,Other,22/05/2011,5,3400
2011,Guntur,Other,23/05/2011,5,3400
2011,Guntur,Other,24/05/2011,5,3450
2011,Guntur,Other,25/05/2011,5,3450
2011,Guntur,Other,26/05/2011,5,3100
2011,Guntur,Other,27/05/2011,5,3100
2011,Guntur,Other,28/05/2011,5,3100
2011,Guntur,Other,29/05/2011,5,3050
2011,Guntur,Other,31/05/2011,5,3050
2011,Guntur,Other,02/06/2011,6,3050
2011,Guntur,Other,03/06/2011,6,3050
2011,Guntur,Other,04/06/2011,6,3050
2011,Guntur,Other,05/06/2011,6,3050
2011,Guntur,Other,06/06/2011,6,3050
2011,Guntur,Other,07/06/2011,6,3050
2011,Guntur,Other,08/06/2011,6,3050
2011,Guntur,Other,09/06/2011,6,3050
2011,Guntur,Other,10/06/2011,6,3050
2011,Guntur,Other,11/06/2011,6,3050
2011,Guntur,Other,12/06/2011,6,3050
2011,Guntur,Other,13/06/2011,6,3050
2011,Guntur,Other,14/06/2011,6,3050
2011,Guntur,Other,15/06/2011,6,3050
2011,Guntur,Other,16/06/2011,6,3050
2011,Guntur,Other,17/06/2011,6,3050
2011,Guntur,Other,18/06/2011,6,3000
2011,Guntur,Other,19/06/2011,6,3050
2011,Guntur,Other,20/06/2011,6,3050
2011,Guntur,Other,21/06/2011,6,3000
2011,Guntur,Other,22/06/2011,6,3000
2011,Guntur,Other,23/06/2011,6,3000
2011,Guntur,Other,24/06/2011,6,3000
2011,Guntur,Other,25/06/2011,6,3000
2011,Guntur,Other,26/06/2011,6,3000
2011,Guntur,Other,27/06/2011,6,3000
2011,Guntur,Other,28/06/2011,6,3000
2011,Guntur,Other,29/06/2011,6,3000
2011,Guntur,Other,30/06/2011,6,3000
2011,Guntur,Other,01/07/2011,7,3000
2011,Guntur,Other,02/07/2011,7,3000
2011,Guntur,Other,03/07/2011,7,3000
2011,Guntur,Other,04/07/2011,7,3000
2011,Guntur,Other,05/07/2011,7,3000
2011,Guntur,Other,06/07/2011,7,3000
2011,Guntur,Other,07/07/2011,7,3000
2011,Guntur,Other,08/07/2011,7,3000
2011,Guntur,Other,09/07/2011,7,3000
2011,Guntur,Other,10/07/2011,7,3000
2011,Guntur,Other,11/07/2011,7,3000
2011,Guntur,Other,12/07/2011,7,3000
2011,Guntur,Other,13/07/2011,7,3000
2011,Guntur,Other,14/07/2011,7,3000
2011,Guntur,Other,15/07/2011,7,3000
2011,Guntur,Other,16/07/2011,7,3000
2011,Guntur,Other,17/07/2011,7,3000
2011,Guntur,Other,19/07/2011,7,3000
2011,Guntur,Other,20/07/2011,7,3000
2011,Guntur,Other,21/07/2011,7,3000
2011,Guntur,Other,22/07/2011,7,3000
2011,Guntur,Other,23/07/2011,7,3000
2011,Guntur,Other,24/07/2011,7,3000
2011,Guntur,Other,25/07/2011,7,3000
2011,Guntur,Other,26/07/2011,7,3000
2011,Guntur,Other,27/07/2011,7,3000
2011,Guntur,Other,28/07/2011,7,3000
2011,Guntur,Other,29/07/2011,7,3000
2011,Guntur,Other,30/07/2011,7,3000
2011,Guntur,Other,31/07/2011,7,3000
2011,Guntur,Other,01/08/2011,8,3000
2011,Guntur,Other,02/08/2011,8,3000
2011,Guntur,Other,03/08/2011,8,3000
2011,Guntur,Other,04/08/2011,8,3000
2011,Guntur,Other,05/08/2011,8,3000
2011,Guntur,Other,06/08/2011,8,3000
2011,Guntur,Other,07/08/2011,8,3000
2011,Guntur,Other,08/08/2011,8,3000
2011,Guntur,Other,09/08/2011,8,3000
2011,Guntur,Other,10/08/2011,8,3000
2011,Guntur,Other,11/08/2011,8,3000
2011,Guntur,Other,12/08/2011,8,3000
2011,Guntur,Other,13/08/2011,8,3000
2011,Guntur,Other,14/08/2011,8,3000
2011,Guntur,Other,15/08/2011,8,3000
2011,Guntur,Other,16/08/2011,8,3000
2011,Guntur,Other,17/08/2011,8,3000
2011,Guntur,Other,18/08/2011,8,3000
2011,Guntur,Other,19/08/2011,8,3000
2011,Guntur,Other,20/08/2011,8,3000
2011,Guntur,Other,21/08/2011,8,3000
2011,Guntur,Other,22/08/2011,8,3000
2011,Guntur,Other,23/08/2011,8,3000
2011,Guntur,Other,24/08/2011,8,3000
2011,Guntur,Other,25/08/2011,8,3000
2011,Guntur,Other,26/08/2011,8,3000
2011,Guntur,Other,27/08/2011,8,3000
2011,Guntur,Other,28/08/2011,8,3000
2011,Guntur,Other,29/08/2011,8,3000
2011,Guntur,Other,30/08/2011,8,3000
2011,Guntur,Other,31/08/2011,8,3000
2011,Guntur,Other,01/09/2011,9,3000
2011,Guntur,Other,02/09/2011,9,3000
2011,Guntur,Other,03/09/2011,9,3000
2011,Guntur,Other,04/09/2011,9,3000
2011,Guntur,Other,05/09/2011,9,3000
2011,Guntur,Other,06/09/2011,9,3000
2011,Guntur,Other,07/09/2011,9,3000
2011,Guntur,Other,08/09/2011,9,3000
2011,Guntur,Other,09/09/2011,9,3000
2011,Guntur,Other,13/09/2011,9,3000
2011,Guntur,Other,14/09/2011,9,3000
2011,Guntur,Other,16/09/2011,9,3000
2011,Guntur,Other,17/09/2011,9,3000
2011,Guntur,Other,18/09/2011,9,3000
2011,Guntur,Other,19/09/2011,9,3000
2011,Guntur,Other,20/09/2011,9,3000
2011,Guntur,Other,21/09/2011,9,3000
2011,Guntur,Other,22/09/2011,9,3000
2011,Guntur,Other,23/09/2011,9,3000
2011,Guntur,Other,24/09/2011,9,3000
2011,Guntur,Other,25/09/2011,9,3000
2011,Guntur,Other,26/09/2011,9,3000
2011,Guntur,Other,27/09/2011,9,3000
2011,Guntur,Other,28/09/2011,9,3000
2011,Guntur,Other,29/09/2011,9,3000
2011,Guntur,Other,30/09/2011,9,3000
2011,Guntur,Other,01/10/2011,10,3000
2011,Guntur,Other,02/10/2011,10,3000
2011,Guntur,Other,03/10/2011,10,3000
2011,Guntur,Other,04/10/2011,10,3000
2011,Guntur,Other,05/10/2011,10,3000
2011,Guntur,Other,06/10/2011,10,3000
2011,Guntur,Other,07/10/2011,10,3000
2011,Guntur,Other,08/10/2011,10,3000
2011,Guntur,Other,09/10/2011,10,3000
2011,Guntur,Other,10/10/2011,10,3000
2011,Guntur,Other,11/10/2011,10,3000
2011,Guntur,Other,12/10/2011,10,3000
2011,Guntur,Other,13/10/2011,10,3000
2011,Guntur,Other,14/10/2011,10,3000
2011,Guntur,Other,15/10/2011,10,3000
2011,Guntur,Other,16/10/2011,10,3000
2011,Guntur,Other,17/10/2011,10,3000
2011,Guntur,Other,18/10/2011,10,3000
2011,Guntur,Other,19/10/2011,10,3000
2011,Guntur,Other,20/10/2011,10,3000
2011,Guntur,Other,21/10/2011,10,3000
2011,Guntur,Other,22/10/2011,10,3000
2011,Guntur,Other,23/10/2011,10,3000
2011,Guntur,Other,24/10/2011,10,3000
2011,Guntur,Other,25/10/2011,10,3000
2011,Guntur,Other,26/10/2011,10,3000
2011,Guntur,Other,27/10/2011,10,3000
2011,Guntur,Other,28/10/2011,10,3000
2011,Guntur,Other,29/10/2011,10,3000
2011,Guntur,Other,30/10/2011,10,3000
2011,Guntur,Other,31/10/2011,10,3000
2011,Guntur,Other,01/11/2011,11,3000
2011,Guntur,Other,02/11/2011,11,3000
2011,Guntur,Other,03/11/2011,11,3000
2011,Guntur,Other,04/11/2011,11,3000
2011,Guntur,Other,05/11/2011,11,3000
2011,Guntur,Other,06/11/2011,11,3000
2011,Guntur,Other,07/11/2011,11,3000
2011,Guntur,Other,08/11/2011,11,3000
2011,Guntur,Other,09/11/2011,11,3000
2011,Guntur,Other,10/11/2011,11,3000
2011,Guntur,Other,11/11/2011,11,3000
2011,Guntur,Other,12/11/2011,11,3000
2011,Guntur,Other,13/11/2011,11,3000
2011,Guntur,Other,14/11/2011,11,3000
2011,Guntur,Other,15/11/2011,11,3000
2011,Guntur,Other,16/11/2011,11,3000
2011,Guntur,Other,17/11/2011,11,3000
2011,Guntur,Other,18/11/2011,11,3450
2011,Guntur,Other,19/11/2011,11,3450
2011,Guntur,Other,20/11/2011,11,3500
2011,Guntur,Other,21/11/2011,11,3500
2011,Guntur,Other,22/11/2011,11,3650
2011,Guntur,Other,23/11/2011,11,3600
2011,Guntur,Other,24/11/2011,11,3500
2011,Guntur,Other,25/11/2011,11,3600
2011,Guntur,Other,26/11/2011,11,3700
2011,Guntur,Other,27/11/2011,11,3700
2011,Guntur,Other,28/11/2011,11,3700
2011,Guntur,Other,29/11/2011,11,3700
2011,Guntur,Other,30/11/2011,11,3700
2011,Guntur,Other,01/12/2011,12,3700
2011,Guntur,Desi,15/01/2011,1,4200
2011,Guntur,MCU,16/01/2011,1,4200
2011,Guntur,MCU,09/02/2011,2,5600
2011,Guntur,MCU,07/05/2011,5,4400
2011,Guntur,MCU,16/05/2011,5,3500
2011,Guntur,MCU 5,01/01/2011,1,4100
2011,Guntur,MCU 5,02/01/2011,1,4200
2011,Guntur,MCU 5,03/01/2011,1,4400
2011,Guntur,MCU 5,04/01/2011,1,4200
2011,Guntur,MCU 5,05/01/2011,1,4200
2011,Guntur,MCU 5,06/01/2011,1,4200
2011,Guntur,MCU 5,07/01/2011,1,4200
2011,Guntur,MCU 5,08/01/2011,1,4200
2011,Guntur,MCU 5,09/01/2011,1,4200
2011,Guntur,MCU 5,10/01/2011,1,4200
2011,Guntur,MCU 5,11/01/2011,1,4200
2011,Guntur,MCU 5,12/01/2011,1,4000
2011,Guntur,MCU 5,13/01/2011,1,4000
2011,Guntur,MCU 5,14/01/2011,1,4200
2011,Guntur,MCU 5,15/01/2011,1,4100
2011,Guntur,MCU 5,17/01/2011,1,4000
2011,Guntur,MCU 5,18/01/2011,1,4100
2011,Guntur,MCU 5,19/01/2011,1,4200
2011,Guntur,MCU 5,20/01/2011,1,4200
2011,Guntur,MCU 5,21/01/2011,1,4200
2011,Guntur,MCU 5,22/01/2011,1,4400
2011,Guntur,MCU 5,23/01/2011,1,4500
2011,Guntur,MCU 5,24/01/2011,1,4500
2011,Guntur,MCU 5,26/01/2011,1,4500
2011,Guntur,MCU 5,27/01/2011,1,4400
2011,Guntur,MCU 5,28/01/2011,1,4500
2011,Guntur,MCU 5,29/01/2011,1,4500
