year,district,variety,Date,month,modal_price
2011,Chandrapur,Other,27/11/2011,11,4000
2011,Chandrapur,Other,22/11/2011,11,3850
2011,Chandrapur,Other,23/11/2011,11,3900
2011,Chandrapur,Other,24/11/2011,11,3900
2011,Chandrapur,Other,25/11/2011,11,3850
2011,Chandrapur,Other,26/11/2011,11,3850
2011,Chandrapur,Other,28/11/2011,11,3850
2011,Chandrapur,Other,29/11/2011,11,3750
2011,Chandrapur,Other,30/11/2011,11,3650
2011,Chandrapur,Other,12/01/2011,1,3700
2011,Chandrapur,Other,01/01/2011,1,4150
2011,Chandrapur,Other,01/02/2011,2,4200
2011,Chandrapur,Other,01/03/2011,3,4200
2011,Chandrapur,Other,01/04/2011,4,4300
2011,Chandrapur,Other,01/05/2011,5,4405
2011,Chandrapur,Other,01/06/2011,6,4400
2011,Chandrapur,Other,01/07/2011,7,4400
2011,Chandrapur,Other,01/08/2011,8,4450
2011,Chandrapur,Other,01/09/2011,9,4500
2011,Chandrapur,Other,01/10/2011,10,4350
2011,Chandrapur,Other,01/11/2011,11,4350
2011,Chandrapur,Other,01/12/2011,12,4475
2011,Chandrapur,Other,13/01/2011,1,4450
2011,Chandrapur,Other,14/01/2011,1,4450
2011,Chandrapur,Other,15/01/2011,1,4450
2011,Chandrapur,Other,16/01/2011,1,4700
2011,Chandrapur,Other,17/01/2011,1,4850
2011,Chandrapur,Other,18/01/2011,1,4900
2011,Chandrapur,Other,19/01/2011,1,4900
2011,Chandrapur,Other,20/01/2011,1,4900
2011,Chandrapur,Other,21/01/2011,1,4900
2011,Chandrapur,Other,22/01/2011,1,4900
2011,Chandrapur,Other,23/01/2011,1,4900
2011,Chandrapur,Other,24/01/2011,1,5150
2011,Chandrapur,Other,25/01/2011,1,5100
2011,Chandrapur,Other,26/01/2011,1,5150
2011,Chandrapur,Other,27/01/2011,1,5050
2011,Chandrapur,Other,28/01/2011,1,5200
2011,Chandrapur,Other,29/01/2011,1,5200
2011,Chandrapur,Other,30/01/2011,1,5500
2011,Chandrapur,Other,31/01/2011,1,5500
2011,Chandrapur,Other,02/01/2011,1,5000
2011,Chandrapur,Other,02/02/2011,2,5000
2011,Chandrapur,Other,02/03/2011,3,5000
2011,Chandrapur,Other,02/04/2011,4,5000
2011,Chandrapur,Other,02/05/2011,5,5500
2011,Chandrapur,Other,02/06/2011,6,5500
2011,Chandrapur,Other,02/07/2011,7,5700
2011,Chandrapur,Other,02/08/2011,8,5850
2011,Chandrapur,Other,02/09/2011,9,5850
2011,Chandrapur,Other,02/10/2011,10,5850
2011,Chandrapur,Other,02/11/2011,11,5850
2011,Chandrapur,Other,02/12/2011,12,5850
2011,Chandrapur,Other,13/02/2011,2,5850
2011,Chandrapur,Other,14/02/2011,2,5850
2011,Chandrapur,Other,15/02/2011,2,5850
2011,Chandrapur,Other,16/02/2011,2,6200
2011,Chandrapur,Other,17/02/2011,2,5500
