year,district,variety,Date,month,modal_price
2011,Ajmer,170-CO2 (Unginned),1/2/2011,2,5311
2011,Ajmer,Other,1/5/2011,5,6100
2011,Ajmer,Other,2/5/2011,5,6100
2011,Ajmer,Other,3/5/2011,5,6100
2011,Ajmer,Other,4/5/2011,5,6100
2011,Ajmer,Other,5/5/2011,5,6100
2011,Ajmer,Other,6/5/2011,5,6100
2011,Ajmer,Other,7/5/2011,5,6100
2011,Ajmer,Other,8/5/2011,5,6100
2011,Ajmer,Other,9/5/2011,5,6100
2011,Ajmer,Other,10/5/2011,5,6100
2011,Ajmer,Other,11/5/2011,5,6100
2011,Ajmer,Other,12/5/2011,5,6100
2011,Ajmer,Other,13/05/2011,5,6100
2011,Ajmer,Other,14/05/2011,5,6100
2011,Ajmer,Other,15/05/2011,5,6100
2011,Ajmer,Other,16/05/2011,5,6100
2011,Ajmer,Other,17/05/2011,5,6100
2011,Ajmer,Other,18/05/2011,5,6100
2011,Ajmer,Other,19/05/2011,5,6100
2011,Ajmer,Other,20/05/2011,5,6100
2011,Ajmer,Other,21/05/2011,5,6100
2011,Ajmer,Other,22/05/2011,5,6100
2011,Ajmer,Other,23/05/2011,5,6100
2011,Ajmer,Other,24/05/2011,5,6100
2011,Ajmer,Other,25/05/2011,5,6100
2011,Ajmer,Other,26/05/2011,5,6100
2011,Ajmer,Other,27/05/2011,5,6100
2011,Ajmer,Other,28/05/2011,5,6100
2011,Ajmer,Other,29/05/2011,5,6100
2011,Ajmer,Other,30/05/2011,5,6100
2011,Ajmer,Other,31/05/2011,5,6100
2011,Ajmer,Other,1/6/2011,6,6100
2011,Ajmer,Other,2/6/2011,6,6100
2011,Ajmer,Other,3/6/2011,6,6100
2011,Ajmer,Other,4/6/2011,6,6100
2011,Ajmer,Other,5/6/2011,6,6100
2011,Ajmer,Other,6/6/2011,6,6100
2011,Ajmer,Other,7/6/2011,6,6100
2011,Ajmer,Other,8/6/2011,6,6100
2011,Ajmer,Other,9/6/2011,6,6100
2011,Ajmer,Other,10/6/2011,6,6100
2011,Ajmer,Other,11/6/2011,6,6100
2011,Ajmer,Other,12/6/2011,6,6100
