year,district,variety,arrival_date,modal_price
2011,Coimbatore,Other,03/01/2011,4550
2011,Coimbatore,Other,04/01/2011,4550
2011,Coimbatore,Other,05/01/2011,4550
2011,Coimbatore,Other,06/01/2011,4550
2011,Coimbatore,Other,07/01/2011,4550
2011,Coimbatore,Other,08/01/2011,4550
2011,Coimbatore,Other,09/01/2011,4550
2011,Coimbatore,Other,10/01/2011,4600
2011,Coimbatore,Other,11/01/2011,4600
2011,Coimbatore,Other,12/01/2011,5250
2011,Coimbatore,Other,13/01/2011,5250
2011,Coimbatore,Other,14/01/2011,5250
2011,Coimbatore,Other,15/01/2011,5250
2011,Coimbatore,Other,16/01/2011,5250
2011,Coimbatore,Other,17/01/2011,5250
2011,Coimbatore,Other,18/01/2011,5250
2011,Coimbatore,Other,19/01/2011,5400
2011,Coimbatore,Other,20/01/2011,5400
2011,Coimbatore,Other,21/01/2011,6750
2011,Coimbatore,Other,22/01/2011,6750
2011,Coimbatore,Other,23/01/2011,6750
2011,Coimbatore,Other,24/01/2011,6750
2011,Coimbatore,Other,25/01/2011,6750
2011,Coimbatore,Other,26/01/2011,6750
2011,Coimbatore,Other,27/01/2011,6820
2011,Coimbatore,Other,28/01/2011,6870
2011,Coimbatore,Other,29/01/2011,6870
2011,Coimbatore,Other,30/01/2011,6870
2011,Coimbatore,Other,31/01/2011,6750
2011,Coimbatore,Other,01/02/2011,6870
2011,Coimbatore,Other,02/02/2011,6870
2011,Coimbatore,Other,03/02/2011,6870
2011,Coimbatore,Other,04/02/2011,6850
2011,Coimbatore,Other,05/02/2011,6850
2011,Coimbatore,Other,06/02/2011,6850
2011,Coimbatore,Other,07/02/2011,6850
2011,Coimbatore,Other,08/02/2011,6800
2011,Coimbatore,Other,09/02/2011,6800
2011,Coimbatore,Other,10/02/2011,6800
2011,Coimbatore,Other,11/02/2011,6800
2011,Coimbatore,Other,12/02/2011,6800
2011,Coimbatore,Other,13/02/2011,6800
2011,Coimbatore,Other,14/02/2011,7650
2011,Coimbatore,Other,15/02/2011,7650
2011,Coimbatore,Other,16/02/2011,7650
2011,Coimbatore,Other,17/02/2011,8145
2011,Coimbatore,Other,18/02/2011,8145
2011,Coimbatore,Other,19/02/2011,8145
2011,Coimbatore,Other,20/02/2011,8145
2011,Coimbatore,Other,21/02/2011,8150
2011,Coimbatore,Other,22/02/2011,8150
2011,Coimbatore,Other,23/02/2011,8145
2011,Coimbatore,Other,24/02/2011,7900
2011,Coimbatore,Other,25/02/2011,7800
2011,Coimbatore,Other,26/02/2011,7800
2011,Coimbatore,Other,27/02/2011,7800
2011,Coimbatore,Other,28/02/2011,7800
2011,Coimbatore,Other,01/03/2011,7800
2011,Coimbatore,Other,02/03/2011,7800
2011,Coimbatore,Other,03/03/2011,7800
2011,Coimbatore,Other,04/03/2011,6200
2011,Coimbatore,Other,05/03/2011,6200
