year,district,variety,Date,month,modal_price
2011,Dindigul,MCU 5,12/09/2011,9,3800
2011,Dindigul,MCU 5,13/09/2011,9,3800
2011,Dindigul,MCU 5,14/09/2011,9,3200
2011,Dindigul,MCU 5,15/09/2011,9,3200
2011,Dindigul,MCU 5,16/09/2011,9,3600
2011,Dindigul,MCU 5,17/09/2011,9,3600
2011,Dindigul,MCU 5,18/09/2011,9,3600
2011,Dindigul,MCU 5,19/09/2011,9,3600
2011,Dindigul,MCU 5,20/09/2011,9,3600
2011,Dindigul,MCU 5,21/09/2011,9,3600
2011,Dindigul,MCU 5,22/09/2011,9,3600
2011,Dindigul,MCU 5,23/09/2011,9,4000
2011,Dindigul,MCU 5,24/09/2011,9,4000
2011,Dindigul,MCU 5,25/09/2011,9,4000
2011,Dindigul,MCU 5,26/09/2011,9,4000
2011,Dindigul,MCU 5,27/09/2011,9,4000
2011,Dindigul,MCU 5,28/09/2011,9,3950
2011,Dindigul,MCU 5,29/09/2011,9,3900
2011,Dindigul,MCU 5,30/09/2011,9,3600
2011,Dindigul,MCU 5,01/10/2011,10,3600
2011,Dindigul,MCU 5,02/10/2011,10,3600
2011,Dindigul,MCU 5,03/10/2011,10,3600
2011,Dindigul,MCU 5,04/10/2011,10,3400
2011,Dindigul,MCU 5,05/10/2011,10,3400
2011,Dindigul,MCU 5,06/10/2011,10,3400
2011,Dindigul,MCU 5,07/10/2011,10,3400
2011,Dindigul,MCU 5,08/10/2011,10,3400
2011,Dindigul,MCU 5,09/10/2011,10,3400
2011,Dindigul,MCU 5,10/10/2011,10,3750
2011,Dindigul,MCU 5,11/10/2011,10,3700
2011,Dindigul,MCU 5,12/10/2011,10,3700
2011,Dindigul,MCU 5,13/10/2011,10,3650
2011,Dindigul,MCU 5,14/10/2011,10,3700
2011,Dindigul,MCU 5,15/10/2011,10,3700
2011,Dindigul,MCU 5,16/10/2011,10,3700
2011,Dindigul,MCU 5,17/10/2011,10,3600
2011,Dindigul,MCU 5,18/10/2011,10,3800
2011,Dindigul,MCU 5,19/10/2011,10,3800
2011,Dindigul,MCU 5,20/10/2011,10,3750
2011,Dindigul,MCU 5,21/10/2011,10,3500
2011,Dindigul,MCU 5,22/10/2011,10,3500
2011,Dindigul,MCU 5,23/10/2011,10,3500
2011,Dindigul,MCU 5,24/10/2011,10,3500
2011,Dindigul,MCU-7,25/10/2011,10,3600
2011,Dindigul,MCU-7,26/10/2011,10,3600
2011,Dindigul,Other,27/10/2011,10,3750
2011,Dindigul,Other,28/10/2011,10,3600
2011,Dindigul,Other,29/10/2011,10,3600
2011,Dindigul,Other,30/10/2011,10,3600
2011,Dindigul,Other,31/10/2011,10,3750
2011,Dindigul,Other,01/11/2011,11,3750
2011,Dindigul,Other,02/11/2011,11,3750
2011,Dindigul,Other,03/11/2011,11,3700
2011,Dindigul,MCU 5,25/10/2011,10,3850
2011,Dindigul,MCU 5,26/10/2011,10,3850
2011,Dindigul,MCU 5,27/10/2011,10,3700
2011,Erode,MCU 5,27/06/2011,6,4200
2011,Erode,MCU 5,28/06/2011,6,4200
2011,Erode,MCU 5,29/06/2011,6,4200
2011,Erode,MCU 5,30/06/2011,6,4200
2011,Erode,MCU 5,01/07/2011,7,4200
2011,Erode,MCU 5,02/07/2011,7,4200
2011,Erode,MCU 5,03/07/2011,7,4200
2011,Erode,MCU 5,04/07/2011,7,4200
2011,Erode,MCU 5,05/07/2011,7,4200
2011,Erode,MCU 5,06/07/2011,7,4200
2011,Erode,MCU 5,07/07/2011,7,4200
2011,Erode,MCU 5,08/07/2011,7,4200
2011,Erode,MCU 5,09/07/2011,7,4200
2011,Erode,MCU 5,10/07/2011,7,4200
2011,Erode,MCU 5,11/07/2011,7,4350
2011,Erode,MCU 5,12/07/2011,7,4350
2011,Erode,MCU 5,13/07/2011,7,4350
2011,Erode,MCU 5,14/07/2011,7,4350
2011,Erode,MCU 5,15/07/2011,7,4350
2011,Erode,MCU 5,16/07/2011,7,4350
2011,Erode,MCU 5,17/07/2011,7,4350
2011,Erode,MCU 5,18/07/2011,7,4100
2011,Erode,MCU 5,19/07/2011,7,4000
2011,Erode,MCU 5,20/07/2011,7,4000
2011,Erode,MCU 5,21/07/2011,7,4000
2011,Erode,MCU 5,22/07/2011,7,4000
2011,Erode,MCU 5,23/07/2011,7,4000
2011,Erode,MCU 5,24/07/2011,7,4000
2011,Erode,MCU 5,25/07/2011,7,4000
2011,Erode,MCU 5,26/07/2011,7,3900
2011,Erode,Other,27/06/2011,6,3800
2011,Erode,Other,28/06/2011,6,3800
2011,Erode,Other,29/06/2011,6,3800
2011,Erode,Other,30/06/2011,6,3800
2011,Erode,Other,01/07/2011,7,3800
2011,Erode,Other,02/07/2011,7,3800
2011,Erode,Other,03/07/2011,7,3800
2011,Erode,Other,04/07/2011,7,3800
2011,Erode,Other,05/07/2011,7,3800
2011,Erode,Other,06/07/2011,7,3800
2011,Erode,Other,07/07/2011,7,3800
2011,Erode,Other,08/07/2011,7,3800
2011,Erode,Other,09/07/2011,7,3800
2011,Erode,Other,10/07/2011,7,3800
2011,Erode,Other,11/07/2011,7,3900
2011,Erode,Other,12/07/2011,7,3900
2011,Erode,Other,13/07/2011,7,3900
2011,Erode,Other,14/07/2011,7,3900
2011,Erode,Other,15/07/2011,7,3900
2011,Erode,Other,16/07/2011,7,3900
2011,Erode,Other,17/07/2011,7,3900
2011,Erode,Other,18/07/2011,7,3850
2011,Erode,Other,19/07/2011,7,3700
2011,Erode,Other,20/07/2011,7,3700
2011,Erode,Other,21/07/2011,7,3700
2011,Erode,Other,22/07/2011,7,3700
2011,Erode,Other,23/07/2011,7,3700
2011,Erode,Other,24/07/2011,7,3700
2011,Erode,Other,25/07/2011,7,3500
2011,Erode,Other,26/07/2011,7,3500
2011,Erode,LRA,29/06/2011,6,4425
2011,Erode,LRA,30/06/2011,6,4425
2011,Erode,LRA,01/07/2011,7,4425
2011,Erode,LRA,02/07/2011,7,4425
2011,Erode,LRA,03/07/2011,7,4425
2011,Erode,LRA,04/07/2011,7,4425
2011,Erode,LRA,05/07/2011,7,4425
2011,Erode,LRA,06/07/2011,7,4425
2011,Erode,LRA,07/07/2011,7,4425
2011,Erode,LRA,08/07/2011,7,4425
2011,Erode,LRA,09/07/2011,7,4425
2011,Erode,LRA,10/07/2011,7,4425
2011,Erode,LRA,11/07/2011,7,4425
2011,Erode,LRA,12/07/2011,7,4425
2011,Erode,LRA,13/07/2011,7,4425
2011,Erode,LRA,14/07/2011,7,4300
2011,Erode,LRA,15/07/2011,7,4300
2011,Erode,LRA,16/07/2011,7,4300
2011,Erode,LRA,17/07/2011,7,4300
2011,Erode,LRA,18/07/2011,7,4300
2011,Erode,LRA,19/07/2011,7,4300
2011,Erode,LRA,20/07/2011,7,4300
2011,Erode,LRA,21/07/2011,7,4300
2011,Erode,LRA,22/07/2011,7,4100
2011,Erode,MCU 5,22/06/2011,6,3365
2011,Erode,MCU 5,23/06/2011,6,3365
2011,Erode,MCU 5,24/06/2011,6,3365
2011,Erode,MCU 5,25/06/2011,6,3365
2011,Erode,MCU 5,26/06/2011,6,3365
2011,Erode,MCU 5,27/07/2011,7,3365
2011,Erode,MCU 5,28/07/2011,7,3365
2011,Erode,MCU 5,29/07/2011,7,3365
2011,Erode,MCU 5,30/07/2011,7,3365
2011,Erode,MCU 5,31/07/2011,7,3365
2011,Erode,MCU 5,01/08/2011,8,3365
2011,Erode,MCU 5,02/08/2011,8,3365
2011,Erode,MCU 5,03/08/2011,8,3365
2011,Erode,MCU 5,04/08/2011,8,3365
2011,Erode,MCU 5,05/08/2011,8,3365
2011,Erode,MCU 5,06/08/2011,8,3365
2011,Erode,MCU 5,07/08/2011,8,3365
2011,Erode,MCU 5,08/08/2011,8,3365
2011,Erode,MCU 5,09/08/2011,8,3365
2011,Erode,MCU 5,10/08/2011,8,3365
2011,Erode,MCU 5,11/08/2011,8,3365
2011,Erode,MCU 5,12/08/2011,8,3365
2011,Erode,MCU 5,13/08/2011,8,3365
2011,Erode,MCU 5,14/08/2011,8,3365
2011,Erode,MCU 5,15/08/2011,8,3365
2011,Erode,MCU 5,16/08/2011,8,3365
2011,Erode,MCU 5,17/08/2011,8,3365
2011,Erode,MCU 5,18/08/2011,8,3365
2011,Erode,MCU 5,19/08/2011,8,3365
2011,Erode,MCU 5,20/08/2011,8,3365
2011,Erode,MCU 5,21/08/2011,8,3365
2011,Erode,MCU 5,22/08/2011,8,3365
2011,Erode,MCU 5,23/08/2011,8,3365
2011,Erode,MCU 5,24/08/2011,8,3365
2011,Erode,MCU 5,25/08/2011,8,4400
2011,Erode,Other,22/06/2011,6,3930
2011,Erode,Other,23/06/2011,6,3930
2011,Erode,Other,24/06/2011,6,3930
2011,Erode,Other,25/06/2011,6,3930
2011,Erode,Other,26/06/2011,6,3930
2011,Erode,DCH-32(Unginned),16/04/2011,4,7000
