year,district,variety,Date,month,modal_price
2011,Amreli,Other,01/01/2011,1,4600
2011,Amreli,Other,02/01/2011,1,4600
2011,Amreli,Other,03/01/2011,1,4700
2011,Amreli,Other,04/01/2011,1,4600
2011,Amreli,Other,05/01/2011,1,4600
2011,Amreli,Other,06/01/2011,1,4600
2011,Amreli,Other,07/01/2011,1,4600
2011,Amreli,Other,08/01/2011,1,4600
2011,Amreli,Other,09/01/2011,1,4600
2011,Amreli,Other,10/01/2011,1,4700
2011,Amreli,Other,11/01/2011,1,4700
2011,Amreli,Other,12/01/2011,1,4700
2011,Amreli,Other,13/01/2011,1,4800
2011,Amreli,Other,14/01/2011,1,4800
2011,Amreli,Other,15/01/2011,1,5000
2011,Amreli,Other,16/01/2011,1,5000
2011,Amreli,Other,17/01/2011,1,5200
2011,Amreli,Other,18/01/2011,1,4600
2011,Amreli,Other,19/01/2011,1,5000
2011,Amreli,Other,20/01/2011,1,5100
2011,Amreli,Other,21/01/2011,1,5100
2011,Amreli,Other,22/01/2011,1,5100
2011,Amreli,Other,23/01/2011,1,5100
2011,Amreli,Other,24/01/2011,1,5300
2011,Amreli,Other,25/01/2011,1,5400
2011,Amreli,Other,26/01/2011,1,5400
2011,Amreli,Other,27/01/2011,1,5600
2011,Amreli,Other,28/01/2011,1,5800
2011,Amreli,Other,29/01/2011,1,5700
2011,Amreli,Other,30/01/2011,1,5700
2011,Amreli,Other,31/01/2011,1,5600
2011,Amreli,Other,01/02/2011,2,5900
2011,Amreli,Other,02/02/2011,2,5900
2011,Amreli,Other,03/02/2011,2,6100
2011,Amreli,Other,04/02/2011,2,6100
2011,Amreli,Other,05/02/2011,2,6100
2011,Amreli,Other,06/02/2011,2,6100
2011,Amreli,Other,07/02/2011,2,6400
2011,Amreli,Other,08/02/2011,2,6700
2011,Amreli,Other,09/02/2011,2,6700
2011,Amreli,Other,10/02/2011,2,7100
2011,Amreli,Other,11/02/2011,2,6900
2011,Amreli,Other,12/02/2011,2,7200
2011,Amreli,Other,13/02/2011,2,7200
2011,Amreli,Other,14/02/2011,2,7200
2011,Amreli,Other,15/02/2011,2,6900
2011,Amreli,Other,16/02/2011,2,6900
2011,Amreli,Other,17/02/2011,2,6900
2011,Amreli,Other,18/02/2011,2,7000
2011,Amreli,Other,19/02/2011,2,6900
2011,Amreli,Other,20/02/2011,2,6900
2011,Amreli,Other,21/02/2011,2,6900
2011,Amreli,Other,22/02/2011,2,6800
2011,Amreli,Other,23/02/2011,2,6600
2011,Amreli,Other,24/02/2011,2,6600
2011,Amreli,Other,25/02/2011,2,6300
2011,Amreli,Other,26/02/2011,2,6500
2011,Amreli,Other,27/02/2011,2,6500
